op,level,threads,iter,seconds
compress,1,1,1,0.440681
compress,1,1,2,0.446504
compress,1,1,3,0.443582
compress,1,1,4,0.442375
compress,1,1,5,0.443017
compress,1,1,6,0.446555
compress,1,1,7,0.466298
compress,1,1,8,0.446500
compress,1,1,9,0.468904
compress,1,1,10,0.449606
compress,1,1,11,0.445792
compress,1,1,12,0.443250
compress,1,1,13,0.448923
compress,1,1,14,0.468045
compress,1,1,15,0.444358
compress,1,1,16,0.448626
compress,1,1,17,0.465108
compress,1,1,18,0.444937
compress,1,1,19,0.470534
compress,1,1,20,0.444619
compress,9,1,1,2.667051
compress,9,1,2,2.721020
compress,9,1,3,2.699879
compress,9,1,4,2.662870
compress,9,1,5,2.687326
compress,9,1,6,3.268411
compress,9,1,7,2.698300
compress,9,1,8,2.672742
compress,9,1,9,3.309908
compress,9,1,10,2.695846
compress,9,1,11,2.961798
compress,9,1,12,2.684488
compress,9,1,13,2.676207
compress,9,1,14,2.656190
compress,9,1,15,2.874170
compress,9,1,16,2.694648
compress,9,1,17,2.672296
compress,9,1,18,2.677759
compress,9,1,19,2.658890
compress,9,1,20,2.759266
compress,19,1,1,59.199421
compress,19,1,2,65.487990
compress,19,1,3,62.441960
compress,19,1,4,61.042986
compress,19,1,5,61.188772
compress,19,1,6,62.114330
compress,19,1,7,60.972376
compress,19,1,8,60.577252
compress,19,1,9,61.745186
compress,19,1,10,64.850693
compress,19,1,11,60.392346
compress,19,1,12,61.551549
compress,19,1,13,59.611745
compress,19,1,14,59.652483
compress,19,1,15,59.450102
compress,19,1,16,59.130021
compress,19,1,17,59.723888
compress,19,1,18,59.813590
compress,19,1,19,60.648212
compress,19,1,20,58.947429
compress,22,1,1,79.305677
compress,22,1,2,78.632745
compress,22,1,3,80.257523
compress,22,1,4,94.096600
compress,22,1,5,81.703070
compress,22,1,6,82.237472
compress,22,1,7,81.935753
compress,22,1,8,82.369924
compress,22,1,9,81.629438
compress,22,1,10,81.915272
compress,22,1,11,81.393355
compress,22,1,12,81.097119
compress,22,1,13,79.268053
compress,22,1,14,78.641868
compress,22,1,15,78.531603
compress,22,1,16,79.056137
compress,22,1,17,80.280327
compress,22,1,18,78.879636
compress,22,1,19,78.520581
compress,22,1,20,78.481438
compress,19,8,1,17.084959
compress,19,8,2,13.908489
compress,19,8,3,13.186866
compress,19,8,4,16.881443
compress,19,8,5,14.726797
compress,19,8,6,14.083354
compress,19,8,7,14.311755
compress,19,8,8,16.216154
compress,19,8,9,13.511919
compress,19,8,10,14.573656
compress,19,8,11,16.339465
compress,19,8,12,17.058673
compress,19,8,13,16.130931
compress,19,8,14,14.818106
compress,19,8,15,15.629011
compress,19,8,16,13.563828
compress,19,8,17,14.190711
compress,19,8,18,13.166064
compress,19,8,19,16.648206
compress,19,8,20,13.835669
decompress,1,1,1,0.162934
decompress,1,1,2,0.162413
decompress,1,1,3,0.162266
decompress,1,1,4,0.162364
decompress,1,1,5,0.161798
decompress,1,1,6,0.162092
decompress,1,1,7,0.162282
decompress,1,1,8,0.162067
decompress,1,1,9,0.161595
decompress,1,1,10,0.161994
decompress,1,1,11,0.161072
decompress,1,1,12,0.161602
decompress,1,1,13,0.161081
decompress,1,1,14,0.162020
decompress,1,1,15,0.162247
decompress,1,1,16,0.161626
decompress,1,1,17,0.162237
decompress,1,1,18,0.161934
decompress,1,1,19,0.162190
decompress,1,1,20,0.162556
decompress,9,1,1,0.178191
decompress,9,1,2,0.175206
decompress,9,1,3,0.175255
decompress,9,1,4,0.175135
decompress,9,1,5,0.174936
decompress,9,1,6,0.174459
decompress,9,1,7,0.175067
decompress,9,1,8,0.174048
decompress,9,1,9,0.176273
decompress,9,1,10,0.173352
decompress,9,1,11,0.174340
decompress,9,1,12,0.174960
decompress,9,1,13,0.175963
decompress,9,1,14,0.174659
decompress,9,1,15,0.176125
decompress,9,1,16,0.176112
decompress,9,1,17,0.174926
decompress,9,1,18,0.174639
decompress,9,1,19,0.174831
decompress,9,1,20,0.175870
decompress,19,1,1,0.193479
decompress,19,1,2,0.193819
decompress,19,1,3,0.194203
decompress,19,1,4,0.193140
decompress,19,1,5,0.193339
decompress,19,1,6,0.192602
decompress,19,1,7,0.192905
decompress,19,1,8,0.193513
decompress,19,1,9,0.193960
decompress,19,1,10,0.192254
decompress,19,1,11,0.192298
decompress,19,1,12,0.193439
decompress,19,1,13,0.193854
decompress,19,1,14,0.192383
decompress,19,1,15,0.194058
decompress,19,1,16,0.193206
decompress,19,1,17,0.193995
decompress,19,1,18,0.193168
decompress,19,1,19,0.193855
decompress,19,1,20,0.193923
decompress,22,1,1,0.238503
decompress,22,1,2,0.211993
decompress,22,1,3,0.206150
decompress,22,1,4,0.207079
decompress,22,1,5,0.210173
decompress,22,1,6,0.209541
decompress,22,1,7,0.207166
decompress,22,1,8,0.207830
decompress,22,1,9,0.206715
decompress,22,1,10,0.207075
decompress,22,1,11,0.207817
decompress,22,1,12,0.206949
decompress,22,1,13,0.209957
decompress,22,1,14,0.207398
decompress,22,1,15,0.205489
decompress,22,1,16,0.208431
decompress,22,1,17,0.206192
decompress,22,1,18,0.208739
decompress,22,1,19,0.207845
decompress,22,1,20,0.208479
