host,op,level,threads,N,min_s,p50_s,p90_s,p99_s,max_s,std_s,p50_mbps
6979P,compress,1,1,20,0.4407,0.4465,0.4681,0.4702,0.4705,0.0103,474.71
6979P,compress,9,1,20,2.6562,2.691,2.9925,3.302,3.3099,0.1932,78.77
6979P,compress,19,1,20,58.9474,60.6127,62.6828,65.3669,65.488,1.7754,3.5
6979P,compress,19,8,20,13.1661,14.6502,16.8992,17.08,17.085,1.3673,14.47
6979P,compress,22,1,20,78.4814,80.2689,82.2507,91.8685,94.0966,3.4221,2.64
6979P,decompress,1,1,20,0.1611,0.1621,0.1624,0.1629,0.1629,0.0005,1307.74
6979P,decompress,9,1,20,0.1734,0.175,0.1761,0.1778,0.1782,0.001,1211.09
6979P,decompress,19,1,20,0.1923,0.1935,0.194,0.1942,0.1942,0.0006,1095.62
6979P,decompress,22,1,20,0.2055,0.2078,0.2104,0.2335,0.2385,0.007,1019.89
9965,compress,1,1,20,0.5473,0.6505,0.7265,0.7297,0.7298,0.054,325.84
9965,compress,9,1,20,2.5516,2.5851,2.5974,2.6035,2.6042,0.0164,81.99
9965,compress,19,1,20,61.1237,62.1205,63.1584,63.3514,63.3811,0.6909,3.41
9965,compress,19,8,20,12.7402,12.9006,13.1653,13.2593,13.2761,0.1616,16.43
9965,compress,22,1,20,85.7167,87.1306,89.0475,89.108,89.1097,1.0726,2.43
9965,decompress,1,1,20,0.1612,0.1626,0.1632,0.1637,0.1637,0.0006,1303.76
9965,decompress,9,1,20,0.1601,0.1758,0.1774,0.1814,0.1821,0.004,1205.65
9965,decompress,19,1,20,0.1881,0.1952,0.1973,0.1996,0.2002,0.0029,1085.59
9965,decompress,22,1,20,0.2219,0.226,0.2281,0.2287,0.2289,0.0021,937.93
