server,level,threads,orig_bytes,comp_bytes,ratio,comp_MBs,decomp_MBs
9965,19,0,211957760,52997423,3.999,15.5,1366.3
9965,19,1,211957760,52994951,4.0,3.58,1362.4
9965,19,16,211957760,52997423,3.999,15.5,1369.5
9965,19,2,211957760,52997423,3.999,6.25,1392.6
9965,19,32,211957760,52997423,3.999,15.5,1388.4
9965,19,4,211957760,52997423,3.999,10.4,1380.2
9965,19,64,211957760,52997423,3.999,15.7,1379.2
9965,19,8,211957760,52997423,3.999,15.3,1355.9
9965,1,1,211957760,73421398,2.887,472.9,1634.5
9965,22,1,211957760,52440481,4.042,2.53,1282.5
9965,3,1,211957760,66522981,3.186,301.2,1471.3
9965,9,1,211957760,59379201,3.57,74.4,1581.8
6979P,19,0,211957760,53004951,3.999,13.2,1254.0
6979P,19,1,211957760,53001706,3.999,4.33,1260.1
6979P,19,16,211957760,53004951,3.999,13.8,1251.7
6979P,19,2,211957760,53004951,3.999,6.48,1236.0
6979P,19,32,211957760,53004951,3.999,13.2,1250.5
6979P,19,4,211957760,53004951,3.999,11.4,1246.4
6979P,19,64,211957760,53004951,3.999,14.1,1255.7
6979P,19,8,211957760,53004951,3.999,14.9,1249.8
6979P,1,1,211957760,73420647,2.887,543.2,1466.3
6979P,22,1,211957760,52446609,4.041,3.12,1208.8
6979P,3,1,211957760,66522981,3.186,354.7,1455.3
6979P,9,1,211957760,59299981,3.574,78.0,1487.6
